word,stopword_type,reason
พระราชธิดา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
พระราชบัญชา,Umbrella Term / Low Semantic Weight,เป็นคำนามธรรมเชิงโครงสร้าง
พระลาน,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
พระสวามี,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
พระองค์,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
พระอุโบสถ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
พระเมรุ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
พระเอก,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบทบาทกว้างในโดเมน
พระแม่คงคา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลในตำนานกว้าง
มนุษยชาติ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้างมาก
มือขวา,Umbrella Term / Low Semantic Weight,เป็นคำบอกร่างกายกว้าง
มือซ้าย,Umbrella Term / Low Semantic Weight,เป็นคำบอกร่างกายกว้าง
มือเปล่า,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายกว้าง
ย่านาง,Umbrella Term / Low Semantic Weight,เป็นคำระบุพืชทั่วไป ไม่เฉพาะโดเมน
ศิลปินแห่งชาติ,Domain-Specific Overuse,เป็นคำบรรดาศักดิ์กว้างในโดเมน
หน้าบัน,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถาปัตยกรรมกว้าง
องค์ปะตาระกาหลา,Umbrella Term / Low Semantic Weight,เป็นชื่อตัวละครที่ใช้ในหลายบริบท
อาภรณ์,Umbrella Term / Low Semantic Weight,เป็นคำหมวดเครื่องแต่งกายกว้าง
อิริยาบถ,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายท่าทางกว้าง
เจ้าที่เจ้าทาง,Abstract or Evaluative Term,เป็นนามธรรมเชิงความเชื่อ
เจ้าหญิง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
เจ้าเซ็น,Umbrella Term / Low Semantic Weight,เป็นชื่อตัวละครที่ใช้ในหลายบริบท
เจ้าเมือง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
เชื้อชาติ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
เทพเจ้า,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลในตำนานกว้าง
เปรียบเสมือน,Abstract or Evaluative Term,เป็นคำเชิงนามธรรม ไม่บ่งชี้เนื้อหา
เพลงไทย,Domain-Specific Overuse,เป็นคำหมวดหลักที่ใช้บ่อยในโดเมน
เมืองหลวง,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
เสียงดนตรี,Domain-Specific Overuse,ซ้ำเชิงความหมายกับ ดนตรี
แปลงกาย,Abstract or Evaluative Term,เป็นคำกริยานามธรรม
แห่งชาติ,Umbrella Term / Low Semantic Weight,เป็นคำบอกระดับกว้าง
โบราณ,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายกว้าง
โบราณสถาน,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
โรงละครแห่งชาติ,Domain-Specific Overuse,เป็นคำบอกสถานที่เฉพาะโดเมนกว้าง
ร้อนแรง,Abstract or Evaluative Term,เป็นคำประเมินอารมณ์/สถานการณ์
แกล้งทำ,Abstract or Evaluative Term,เป็นคำกริยาแสดงเจตนา
โลดโผน,Abstract or Evaluative Term,เป็นคำประเมินค่า
ยั่วเย้า,Abstract or Evaluative Term,เป็นคำแสดงพฤติกรรมเชิงประเมิน
นิสัย,Abstract or Evaluative Term,เป็นนามธรรมเชิงบุคลิกภาพ
สังสรรค์,Abstract or Evaluative Term,เป็นคำกิจกรรมนามธรรม
มีอายุ,Abstract or Evaluative Term,เป็นคำประเมินกว้าง
ประดุจ,Abstract or Evaluative Term,เป็นคำเปรียบเทียบนามธรรม
ลีลา,Abstract or Evaluative Term,เป็นนามธรรมเชิงสุนทรียะ
ซุกซน,Abstract or Evaluative Term,เป็นคำประเมินบุคลิกภาพ
เสนียดจัญไร,Abstract or Evaluative Term,เป็นนามธรรมเชิงความเชื่อ
หยอกล้อ,Abstract or Evaluative Term,เป็นคำกริยาแสดงพฤติกรรมกว้าง
อุปสรรค,Abstract or Evaluative Term,เป็นนามธรรมกว้าง
จนตาย,Abstract or Evaluative Term,เป็นนามธรรมเชิงผล
ดำรงตำแหน่ง,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
สะเดาะ,Abstract or Evaluative Term,เป็นนามธรรมเชิงความเชื่อ
มาจาก,Abstract or Evaluative Term,เป็นคำกริยาเชิงโครงสร้างกว้าง
พบปะ,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
คืนหนึ่ง,Abstract or Evaluative Term,เป็นคำบอกเวลานามธรรม
ออกศึก,Abstract or Evaluative Term,เป็นคำกริยากว้างในบริบทสงคราม
กำเริบ,Abstract or Evaluative Term,เป็นคำประเมินพฤติกรรม
ครั้งสุดท้าย,Abstract or Evaluative Term,เป็นคำบอกเวลาเชิงประเมิน
สมทบ,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
ทัพหน้า,Abstract or Evaluative Term,เป็นคำโครงสร้างทางทหารกว้าง
ฟาดฟัน,Abstract or Evaluative Term,เป็นคำกริยาแสดงการกระทำกว้าง
บอกทาง,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
กราบทูล,Abstract or Evaluative Term,เป็นคำกริยาทั่วไปในบริบทราชสำนัก
หมดแรง,Abstract or Evaluative Term,เป็นคำประเมินสภาวะ
ตำนาน,Abstract or Evaluative Term,เป็นนามธรรมเชิงโครงสร้างกว้าง
รังควาญ,Abstract or Evaluative Term,เป็นคำประเมินพฤติกรรม
ฟันปลา,Abstract or Evaluative Term,เป็นคำกริยาเฉพาะบริบทกว้าง
วันวาน,Abstract or Evaluative Term,เป็นนามธรรมเชิงเวลา
หล่อเลี้ยง,Abstract or Evaluative Term,เป็นคำกริยานามธรรม
ประกาศ,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
อิทธิฤทธิ์,Abstract or Evaluative Term,เป็นนามธรรมเชิงความเชื่อ
กลับบ้าน,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
คำบอกเล่า,Abstract or Evaluative Term,เป็นนามธรรมเชิงโครงสร้าง
กลยุทธ,Abstract or Evaluative Term,เป็นนามธรรมเชิงกลวิธี
ออกรบ,Abstract or Evaluative Term,เป็นคำกริยากว้าง
มีฤทธิ์,Abstract or Evaluative Term,เป็นคำประเมินคุณสมบัตินามธรรม
หลงกล,Abstract or Evaluative Term,เป็นคำแสดงสถานการณ์นามธรรม
ประชิดตัว,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
กลายร่าง,Abstract or Evaluative Term,เป็นนามธรรมเชิงการเปลี่ยนแปลง
ขัดตาทัพ,Abstract or Evaluative Term,เป็นคำกริยากว้างในบริบทสงคราม
ถอยทัพ,Abstract or Evaluative Term,เป็นคำกริยากว้างในบริบทสงคราม
ตีลังกา,Abstract or Evaluative Term,เป็นคำกริยาเฉพาะบริบทกว้าง
จำกาย,Abstract or Evaluative Term,เป็นนามธรรมเชิงการเปลี่ยนแปลง
หลบหนี,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
หาทาง,Abstract or Evaluative Term,เป็นคำกริยานามธรรม
ผึ่งแดด,Abstract or Evaluative Term,เป็นคำกริยาทั่วไป
เป็นบ้า,Abstract or Evaluative Term,เป็นคำประเมินสภาวะ
สังหาร,Abstract or Evaluative Term,เป็นคำกริยากว้าง
ฤทธิ์เดช,Abstract or Evaluative Term,เป็นนามธรรมเชิงความเชื่อ
เป็นครั้งแรก,Abstract or Evaluative Term,เป็นคำบอกเวลาเชิงประเมิน
ที่รัก,Abstract or Evaluative Term,เป็นคำประเมินทางอารมณ์
ร่วมใน,Abstract or Evaluative Term,เป็นคำกริยานามธรรมกว้าง
ประทาน,Abstract or Evaluative Term,เป็นคำกริยาในบริบทราชสำนักกว้าง
สภาพอากาศ,Abstract or Evaluative Term,เป็นคำบรรยายสภาพแวดล้อมกว้าง
อาณาจักร,Umbrella Term / Low Semantic Weight,เป็นคำบอกพื้นที่/หน่วยการปกครองกว้าง
แต่งตัว,Umbrella Term / Low Semantic Weight,ซ้ำเชิงความหมายกับ เครื่องแต่งกาย/การแต่งกาย
ชุมนุม,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้าง
เข้าเฝ้า,Umbrella Term / Low Semantic Weight,เป็นคำกริยาในบริบทราชสำนักกว้าง
นางเอก,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบทบาทกว้างในโดเมน
ขับไล่,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ของที่ระลึก,Umbrella Term / Low Semantic Weight,เป็นคำหมวดสิ่งของกว้าง
สวามี,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
อนุชา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ตัวต่อตัว,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายสถานการณ์กว้าง
วาจา,Umbrella Term / Low Semantic Weight,เป็นนามธรรมเชิงการสื่อสารกว้าง
ขับลำ,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้างในโดเมน
แผ่อิทธิพล,Umbrella Term / Low Semantic Weight,เป็นคำกริยานามธรรมกว้าง
นายขวัญ,Umbrella Term / Low Semantic Weight,เป็นชื่อตัวละครที่ใช้ในหลายบริบท
ได้ยิน,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
มารดา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
รับอาสา,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
รุ่นหลัง,Umbrella Term / Low Semantic Weight,เป็นคำบอกช่วงเวลากว้าง
เข้าพบ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
แผ่นดิน,Umbrella Term / Low Semantic Weight,เป็นคำบอกพื้นที่กว้าง
สุทธาวาส,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
อาหาร,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
ปางลีลา,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายท่าทางกว้าง
เขาอังกาศ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
อเนก,Umbrella Term / Low Semantic Weight,เป็นคำบอกปริมาณกว้าง
ชายแดน,Umbrella Term / Low Semantic Weight,เป็นคำบอกพื้นที่กว้าง
พระพี่เลี้ยง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ดวงแก้ว,Umbrella Term / Low Semantic Weight,เป็นคำบอกวัตถุกว้าง
ลงกา,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่ในตำนานกว้าง
ผู้เชี่ยวชาญ,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ภาษา,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
ชั้นเชิง,Umbrella Term / Low Semantic Weight,เป็นคำบอกทักษะกว้าง
กระทุ้ง,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ทำพิธี,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้างในโดเมน
พี่เลี้ยง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
บัญชา,Umbrella Term / Low Semantic Weight,เป็นคำกริยานามธรรม
ชั้นใน,Umbrella Term / Low Semantic Weight,เป็นคำบอกตำแหน่งกว้าง
รับใช้,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
แปลงตัว,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
พาหนะ,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้าง
ขบวนแห่,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้างในโดเมน
จำแลง,Umbrella Term / Low Semantic Weight,ซ้ำเชิงความหมายกับ แปลงตัว/จำกาย
ผู้ประดิษฐ์,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
แตกทัพ,Umbrella Term / Low Semantic Weight,เป็นคำกริยากว้างในบริบทสงคราม
ผู้แสดงฝ่ายชาย,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้างในโดเมน
เชิงบันได,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
ประทับ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาในบริบทราชสำนักกว้าง
ท่าทาง,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายกว้าง
ข้าหลวง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ต้นขา,Umbrella Term / Low Semantic Weight,เป็นคำบอกร่างกายกว้าง
ชาวไทย,Umbrella Term / Low Semantic Weight,เป็นคำเรียกกลุ่มคนกว้าง
รับสั่ง,Umbrella Term / Low Semantic Weight,เป็นคำกริยาในบริบทราชสำนักกว้าง
คำร้อง,Umbrella Term / Low Semantic Weight,เป็นคำหมวดหมู่กว้างในโดเมน
บริวาร,Umbrella Term / Low Semantic Weight,เป็นคำเรียกกลุ่มบุคคลกว้าง
ทางธรรมชาติ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสภาพแวดล้อมกว้าง
ที่รวม,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
รัชกาล,Umbrella Term / Low Semantic Weight,เป็นคำบอกช่วงเวลากว้าง
ที่นั่ง,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
ผู้ครองนคร,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ไพร่พล,Umbrella Term / Low Semantic Weight,เป็นคำเรียกกลุ่มบุคคลกว้าง
เดินอากาศ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ผู้ใช้,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ศีรษะ,Umbrella Term / Low Semantic Weight,เป็นคำบอกร่างกายกว้าง
ยมะ,Umbrella Term / Low Semantic Weight,เป็นชื่อตัวละครในตำนานกว้าง
ผู้มาเยือน,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
อาจารย์,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ผู้แสดงฝ่ายหญิง,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้างในโดเมน
สิ่งชั่วร้าย,Umbrella Term / Low Semantic Weight,เป็นนามธรรมเชิงคุณค่ากว้าง
ขึ้นไป,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ไหล่เขา,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
หมู่เกาะ,Umbrella Term / Low Semantic Weight,เป็นคำบอกสถานที่กว้าง
บุรี,Umbrella Term / Low Semantic Weight,เป็นคำบอกพื้นที่กว้าง
ตัวจริง,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายกว้าง
ฝากตัว,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ตามเพลง,Umbrella Term / Low Semantic Weight,เป็นคำบอกกิจกรรมกว้างในโดเมน
พื้นบ้าน,Umbrella Term / Low Semantic Weight,เป็นคำบริบทกว้างในโดเมน
ทำนาย,Umbrella Term / Low Semantic Weight,เป็นคำกริยานามธรรม
ให้ร้าย,Umbrella Term / Low Semantic Weight,เป็นคำกริยาประเมินค่ากว้าง
ไปมา,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
อาสา,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
บิดา,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
รัชฎา,Umbrella Term / Low Semantic Weight,เป็นชื่อตัวละครที่ใช้ในหลายบริบท
กิจจะ,Umbrella Term / Low Semantic Weight,เป็นชื่อตัวละครที่ใช้ในหลายบริบท
ขอขมา,Umbrella Term / Low Semantic Weight,เป็นคำกิจกรรมกว้าง
บินหนี,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
ผู้พบเห็น,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ข้างใน,Umbrella Term / Low Semantic Weight,เป็นคำบอกตำแหน่งกว้าง
จังหวะ,Umbrella Term / Low Semantic Weight,เป็นคำบอกโครงสร้างกว้างในโดเมน
ป้องกันตัว,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
สอดแทรก,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
รูปนอก,Umbrella Term / Low Semantic Weight,เป็นคำบรรยายกว้าง ไม่ชี้เนื้อหาเฉพาะ
งานรื่นเริง,Abstract or Evaluative Term,เป็นนามธรรมเชิงกิจกรรมประเมินค่า
จุดไฟ,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไป
แก้แค้น,Abstract or Evaluative Term,เป็นคำแสดงเจตนาเชิงประเมินค่า
ชายหนุ่ม,Umbrella Term / Low Semantic Weight,เป็นคำเรียกบุคคลกว้าง
ขึ้นทะเบียน,Umbrella Term / Low Semantic Weight,เป็นคำกริยาทั่วไปเชิงกระบวนการ
มีแบบแผน,Abstract or Evaluative Term,เป็นคำประเมินค่าเชิงนามธรรม
คู่ใจ,Abstract or Evaluative Term,เป็นนามธรรมเชิงความสัมพันธ์
